City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Sobolevo,RU,2022-12-24 18:37:44,54.4299,31.8996,19.89,94,19,5.79
182,Kodiak,US,2022-12-24 18:34:32,57.79,-152.4072,24.31,93,100,13.8
183,Sayat,TM,2022-12-24 18:38:45,38.7839,63.8803,26.47,64,95,7.81
184,Haradok,BY,2022-12-24 18:38:46,55.4624,29.9816,11.93,98,64,3.62
185,Tigzirt,DZ,2022-12-24 18:38:46,36.8886,4.1198,63.43,58,0,3.98
186,Taoudenni,ML,2022-12-24 18:29:11,22.6783,-3.9836,70.74,17,0,8.1
187,Husavik,IS,2022-12-24 18:38:47,66.0449,-17.3389,13.86,73,100,7.99
188,Khorramshahr,IR,2022-12-24 18:38:47,30.4397,48.1664,57.16,88,5,2.3
189,Makakilo City,US,2022-12-24 18:34:04,21.3469,-158.0858,75.52,80,75,8.05
190,Pitimbu,BR,2022-12-24 18:38:48,-7.4706,-34.8086,86.59,65,44,10.42
191,Puerto Leguizamo,CO,2022-12-24 18:38:49,-0.1934,-74.7819,93.76,29,11,6.87
192,Wainwright,CA,2022-12-24 18:38:49,52.839,-110.8572,0.82,94,100,9.82
193,Fare,PF,2022-12-24 18:38:49,-16.7,-151.0167,79.92,74,3,13.44
194,Bucerias,MX,2022-12-24 18:36:24,20.75,-105.3333,76.98,57,0,0.0
195,Torbay,CA,2022-12-24 18:29:04,47.6666,-52.7314,35.58,95,100,36.82
196,Te Anau,NZ,2022-12-24 18:38:50,-45.4167,167.7167,52.63,96,100,2.39
197,Severnyy-Kospashskiy,RU,2022-12-24 18:38:51,59.0925,57.8008,35.6,100,100,10.71
198,Nelson Bay,AU,2022-12-24 18:38:51,-32.7167,152.15,71.01,97,0,3.0
199,Lasem,ID,2022-12-24 18:38:51,-6.6922,111.4527,76.08,91,100,7.83
200,Multan,PK,2022-12-24 18:37:06,30.1956,71.4753,48.09,93,100,0.0
201,Chateaubelair,VC,2022-12-24 18:38:52,13.2833,-61.25,81.12,65,40,25.32
202,Yantongshan,CN,2022-12-24 18:38:53,43.2919,126.0094,-1.55,100,81,2.28
203,Syracuse,IT,2022-12-24 18:37:33,37.0881,15.2792,58.59,78,45,0.96
204,Blagoyevo,RU,2022-12-24 18:38:53,63.3667,47.9167,32.31,96,100,9.91
205,Half Moon Bay,US,2022-12-24 18:38:54,37.4636,-122.4286,60.19,78,20,3.44
206,Salalah,OM,2022-12-24 18:38:54,17.0151,54.0924,75.29,78,40,3.44
207,Yevlax,AZ,2022-12-24 18:38:54,40.6089,47.1492,40.98,81,100,5.75
208,Kahului,US,2022-12-24 18:35:37,20.8947,-156.47,78.84,84,20,11.5
209,Kidal,ML,2022-12-24 18:38:55,18.4411,1.4078,66.0,24,56,10.38
210,Ostrovnoy,RU,2022-12-24 18:38:55,68.0531,39.5131,19.71,94,100,14.54
211,Atar,MR,2022-12-24 18:38:56,20.5169,-13.0499,69.15,17,0,9.84
212,Gobabis,NA,2022-12-24 18:38:56,-22.45,18.9667,74.01,50,92,10.94
213,Ribeira Grande,PT,2022-12-24 18:29:07,38.5167,-28.7,57.6,62,40,15.01
214,Zhangjiakou,CN,2022-12-24 18:38:57,40.81,114.8794,13.98,36,100,3.42
215,Albury,AU,2022-12-24 18:38:57,-36.0833,146.9167,57.02,100,0,4.18
216,Victoria,HK,2022-12-24 18:30:29,22.2855,114.1577,61.32,66,6,3.0
217,Lermontovka,RU,2022-12-24 18:38:58,47.1453,134.3383,8.08,97,100,2.13
218,Iznoski,RU,2022-12-24 18:38:58,54.9881,35.3108,29.8,90,100,5.66
219,Sao Gabriel Da Cachoeira,BR,2022-12-24 18:38:59,-0.1303,-67.0892,84.0,84,40,2.3
220,Vyartsilya,RU,2022-12-24 18:38:59,62.1764,30.693,12.31,97,62,5.21
221,Agadez,NE,2022-12-24 18:39:00,19.75,10.25,60.24,32,0,8.75
222,Srednekolymsk,RU,2022-12-24 18:39:00,67.45,153.6833,-26.46,94,17,1.66
223,Peruibe,BR,2022-12-24 18:39:00,-24.32,-46.9983,75.47,79,88,11.3
224,Bubaque,GW,2022-12-24 18:39:01,11.2833,-15.8333,80.98,55,100,9.28
225,Katsuura,JP,2022-12-24 18:29:19,35.1333,140.3,46.65,56,2,17.13
226,Kamenka,RU,2022-12-24 18:39:02,51.3223,42.7678,31.8,97,100,9.4
227,Mount Isa,AU,2022-12-24 18:39:02,-20.7333,139.5,74.97,100,40,2.3
228,Poya,NC,2022-12-24 18:40:02,-21.35,165.15,77.29,86,69,4.21
229,Vila Franca Do Campo,PT,2022-12-24 18:40:03,37.7167,-25.4333,55.81,80,37,19.3
