City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Phalaborwa,ZA,2022-12-25 00:37:01,-23.943,31.1411,76.28,47,100,2.75,overcast clouds
193,Husavik,IS,2022-12-25 00:37:02,66.0449,-17.3389,15.19,75,100,4.88,overcast clouds
194,Carnarvon,AU,2022-12-25 00:37:02,-24.8667,113.6333,82.22,57,0,13.27,clear sky
195,Namibe,AO,2022-12-25 00:37:03,-15.1961,12.1522,70.02,81,100,6.06,overcast clouds
196,Anadyr,RU,2022-12-25 00:37:03,64.75,177.4833,9.1,78,0,17.9,clear sky
197,Ascension,US,2022-12-25 00:37:04,30.2169,-90.9001,34.05,43,0,6.91,clear sky
198,Pacific Grove,US,2022-12-25 00:37:04,36.6177,-121.9166,66.31,70,0,3.44,clear sky
199,Gulmarg,IN,2022-12-25 00:37:05,34.049,74.3921,20.21,38,57,2.57,broken clouds
200,Ilulissat,GL,2022-12-25 00:37:05,69.2167,-51.1,3.22,27,18,4.61,few clouds
201,Batticaloa,LK,2022-12-25 00:37:06,7.7102,81.6924,75.78,91,100,12.97,very heavy rain
202,Puerto Escondido,MX,2022-12-25 00:37:06,15.85,-97.0667,81.43,65,40,3.44,scattered clouds
203,Savelugu,GH,2022-12-25 00:37:06,9.6244,-0.8253,71.64,19,78,6.51,broken clouds
204,Muskegon Heights,US,2022-12-25 00:37:07,43.2011,-86.239,17.87,88,100,27.0,light snow
205,Saint-Augustin,CA,2022-12-25 00:37:07,51.226,-58.6502,27.93,91,84,5.12,broken clouds
206,Caravelas,BR,2022-12-25 00:37:08,-17.7125,-39.2481,71.44,91,100,6.02,light rain
207,Pemangkat,ID,2022-12-25 00:37:08,1.1667,108.9667,80.13,79,100,10.83,overcast clouds
208,Trairi,BR,2022-12-25 00:36:11,-3.2778,-39.2689,77.47,82,24,7.27,few clouds
209,Nanlong,CN,2022-12-25 00:37:09,31.3533,106.0631,45.34,80,100,13.51,overcast clouds
210,Batsfjord,NO,2022-12-25 00:37:11,70.6345,29.7185,31.93,68,100,5.75,overcast clouds
211,Luba,GQ,2022-12-25 00:37:12,3.4568,8.5547,79.83,75,17,1.59,light rain
212,Sitka,US,2022-12-25 00:37:12,57.0531,-135.33,39.09,70,100,11.5,light rain
213,Healdsburg,US,2022-12-25 00:36:16,38.6105,-122.8692,63.72,77,0,3.44,clear sky
214,Richards Bay,ZA,2022-12-25 00:37:13,-28.783,32.0377,71.55,92,100,9.31,overcast clouds
215,Codrington,AU,2022-12-25 00:37:14,-38.2667,141.9667,73.06,43,0,8.21,clear sky
216,Bowral,AU,2022-12-25 00:37:14,-34.4667,150.4167,73.13,26,0,2.37,clear sky
217,Mokhsogollokh,RU,2022-12-25 00:37:15,61.4681,128.9203,-12.6,92,100,7.16,overcast clouds
218,Komsomolskoye,RU,2022-12-25 00:37:15,55.2567,47.5461,33.37,98,100,13.44,light snow
219,Hato Mayor,DO,2022-12-25 00:37:16,18.7629,-69.256,69.67,93,0,3.6,clear sky
220,Arrecife,ES,2022-12-25 00:37:16,28.963,-13.5477,60.78,63,0,1.14,clear sky
221,Los Llanos De Aridane,ES,2022-12-25 00:37:16,28.6585,-17.9182,60.55,52,0,5.75,clear sky
222,La Ronge,CA,2022-12-25 00:37:17,55.1001,-105.2842,-0.15,71,75,8.05,broken clouds
223,Kencong,ID,2022-12-25 00:37:17,-8.2833,113.3667,74.91,92,100,1.54,overcast clouds
224,Saint Anthony,US,2022-12-25 00:37:18,45.0205,-93.218,3.25,70,0,17.27,clear sky
225,Nueva Loja,EC,2022-12-25 00:37:19,0.0847,-76.8828,74.75,68,99,0.94,overcast clouds
226,Muskogee,US,2022-12-25 00:37:19,35.5834,-95.3336,25.02,46,0,3.44,clear sky
227,Kandrian,PG,2022-12-25 00:37:20,-6.2167,149.55,86.4,68,66,5.77,broken clouds
228,Lima,PE,2022-12-25 00:35:00,-12.0432,-77.0282,70.9,79,0,12.66,clear sky
229,Varniai,LT,2022-12-25 00:38:20,55.7406,22.3644,27.84,84,100,4.94,overcast clouds
230,Kaniama,CD,2022-12-25 00:38:21,-7.5667,24.1833,65.39,97,100,0.67,overcast clouds
231,Caucaia,BR,2022-12-25 00:34:43,-3.7361,-38.6531,82.31,78,75,8.05,broken clouds
232,Chapayeve,UA,2022-12-25 00:38:21,49.3662,35.8749,40.44,96,100,3.2,overcast clouds
233,Altay,CN,2022-12-25 00:38:22,47.8667,88.1167,-2.74,59,6,6.8,clear sky
234,Lorengau,PG,2022-12-25 00:38:23,-2.0226,147.2712,84.38,75,95,4.94,overcast clouds
235,Pathein,MM,2022-12-25 00:38:23,16.7833,94.7333,72.93,79,98,0.96,overcast clouds
236,Szendro,HU,2022-12-25 00:38:24,48.4,20.7333,31.19,90,4,2.82,clear sky
237,Sao Joao Da Barra,BR,2022-12-25 00:38:24,-21.6403,-41.0511,73.49,83,100,19.53,overcast clouds
238,Bahia Honda,CU,2022-12-25 00:38:25,22.9036,-83.1592,65.48,80,100,15.82,light rain
239,Ouallam,NE,2022-12-25 00:38:26,14.3188,2.0866,63.48,25,98,11.1,overcast clouds
240,Pahrump,US,2022-12-25 00:34:34,36.2083,-115.9839,68.05,30,13,1.99,few clouds
241,Kongolo,CD,2022-12-25 00:38:26,-5.3833,27.0,67.87,93,94,1.45,overcast clouds
242,Polunochnoye,RU,2022-12-25 00:38:27,60.8697,60.4153,29.03,95,99,5.64,overcast clouds
243,Dire,ML,2022-12-25 00:38:27,12.2833,-10.9667,70.07,26,99,0.63,overcast clouds
244,Coquimbo,CL,2022-12-25 00:38:28,-29.9533,-71.3436,62.33,82,100,8.05,overcast clouds
245,Inegol,TR,2022-12-25 00:38:28,40.0781,29.5133,36.68,72,100,2.73,light rain
246,Rio Hato,PA,2022-12-25 00:38:29,8.3833,-80.1667,82.78,84,5,14.58,clear sky
247,Esperance,AU,2022-12-25 00:38:29,-33.8667,121.9,70.34,69,6,10.45,clear sky
248,Kabinda,CD,2022-12-25 00:38:30,-6.1333,24.4833,64.4,95,24,0.72,few clouds
249,Camacha,PT,2022-12-25 00:38:30,33.0833,-16.3333,62.02,82,75,8.05,broken clouds
250,Tocopilla,CL,2022-12-25 00:33:51,-22.092,-70.1979,68.86,71,0,4.83,clear sky
251,Samarai,PG,2022-12-25 00:38:31,-10.6167,150.6667,86.13,70,96,13.44,overcast clouds
252,Brumadinho,BR,2022-12-25 00:38:31,-20.1433,-44.1997,70.32,96,53,3.6,broken clouds
253,Kahului,US,2022-12-25 00:38:32,20.8947,-156.47,82.85,67,20,19.57,few clouds
254,Leningradskiy,RU,2022-12-25 00:38:32,69.3833,178.4167,0.84,80,7,4.43,clear sky
255,Bandar,ID,2022-12-25 00:38:33,2.05,99.75,74.05,94,100,0.67,light rain
256,Kautokeino,NO,2022-12-25 00:38:33,69.0125,23.0412,8.08,95,90,3.69,overcast clouds
257,Sao Jose Da Coroa Grande,BR,2022-12-25 00:38:34,-8.8978,-35.1478,78.12,80,11,8.86,few clouds
258,Kutum,SD,2022-12-25 00:38:34,14.2,24.6667,53.53,42,97,10.69,overcast clouds
259,Nara,JP,2022-12-25 00:38:35,34.6851,135.8049,44.91,69,75,9.98,broken clouds
260,Tailai,CN,2022-12-25 00:38:35,46.3833,123.4,5.2,67,0,5.82,clear sky
261,Tual,ID,2022-12-25 00:38:36,-5.6667,132.75,83.97,76,98,16.69,light rain
